"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","0","5183","0","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","4","1","1","3.577658","0","13"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","5","6","1","4.315633","0","7"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","5","1","1","3.723962","0","14"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","9","4","1","4.993753","0","24"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","4","4","1","2.213052","0","5"
"/HairStrands/Materials/HairMeshesDefaultMaterial.HairMeshesDefaultMaterial","0","60","2","1","33.561993","0","1858"
"/HairStrands/Materials/HairCardsDefaultMaterial.HairCardsDefaultMaterial","0","98","1","1","45.373367","0","5047"
"/HairStrands/Materials/HairDefaultMaterial.HairDefaultMaterial","0","60","1","1","29.953560","0","1936"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","9","1","1","3.944785","0","53"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","28","1","1","15.935024","0","433"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","14","1","1","7.767360","0","118"
"/Engine/VREditor/TransformGizmo/Main.Main","0","9","1","1","3.973479","0","53"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","9","1","1","4.052959","0","53"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","51","2","1","18.160400","0","1374"
"/Game/t017849k/StaticMeshes/M_Light.M_Light","0","23","1","1","12.943651","0","298"
"/Game/t017849k/SkeletalMeshes/Snail/PM3D_Sphere3D3.PM3D_Sphere3D3","0","28","1","1","15.912397","0","414"
"/Game/t017849k/SkeletalMeshes/Beetle/BeetleUnwrap.BeetleUnwrap","0","28","1","1","15.497956","0","433"
"/Game/t017849k/SkeletalMeshes/Ant/PM3D_ZSphere2_3.PM3D_ZSphere2_3","0","28","1","1","16.410955","0","421"
"/Game/t017849k/RVT/Road/M_Road.M_Road","0","44","2","1","23.180222","0","960"
"/Game/t017849k/Particles/wind/Materials/M_Wind.M_Wind","0","27","4","1","19.967102","0","176"
"/Game/t017849k/Materials/Shaders/M_CelShader2.M_CelShader2","0","6","1","1","2.256810","0","26"
"/Game/t017849k/Materials/Shaders/M_CelShader.M_CelShader","0","6","1","1","2.243862","0","26"
"/Game/Maps/NoahsTestAssets/01_-_Default.01_-_Default","0","14","2","1","7.902506","0","108"
"/Game/LevelPrototyping/Materials/M_Solid.M_Solid","0","28","1","1","15.684083","0","385"
"/Game/ConnorMinns/Assets/Terrain/HybridMaterials/M_Water.M_Water","0","23","2","1","42.845058","0","264"
"/Game/ConnorMinns/Assets/Terrain/HybridMaterials/M_WallBlend.M_WallBlend","0","28","1","1","16.235693","0","426"
"/Game/ConnorMinns/Assets/Terrain/HybridMaterials/M_LilyPad.M_LilyPad","0","14","1","1","9.597488","0","104"
"/Game/ConnorMinns/Assets/Terrain/HybridMaterials/M_LandscapeBlend.M_LandscapeBlend","0","14","6","1","9.100946","0","64"
"/Game/Blueprints/TowerPlacing/Materials/FlashMat.FlashMat","0","24","1","1","13.586562","0","323"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","84","1","1","61.802231","0","1909"
"/Engine/EngineSky/M_SimpleSkyDome.M_SimpleSkyDome","0","4","1","1","1.960124","0","11"
"/Niagara/DefaultAssets/DefaultSpriteMaterial.DefaultSpriteMaterial","0","60","1","1","28.750351","0","757"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","0","66","1","1","54.587791","0","702"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","0","66","1","1","55.688744","0","881"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","0","66","1","1","53.215195","0","1086"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","28","1","1","15.859889","0","294"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","9","1","1","4.161802","0","31"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","6","1","1","4.748795","0","26"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","66","6","2","36.266647","0","987"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","12","1","1","6.053476","0","67"
"/ControlRig/M_Manip.M_Manip","0","12","1","1","5.625817","0","54"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","4","1","1","1.839192","0","13"
"/Engine/EditorMaterials/WorldPartition/WorldPartitionSpatialHashGridPreviewMaterial.WorldPartitionSpatialHashGridPreviewMaterial","0","6","4","1","2.411547","0","17"
"/HairStrands/Materials/HairDebugMaterial.HairDebugMaterial","0","98","1","1","46.638794","0","1749"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","56","1","1","194.278214","0","747"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","26","1","1","10.365271","0","250"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","125","1","1","66.465828","0","2691"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","167","1","1","93.452904","0","4225"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","1488","1","1","766.311462","0","166943"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","29","1","1","16.339260","0","301"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","61","6","6","30.246325","0","413"
"/Game/W012557k/character/CharacterStuff/Ch39_Body.Ch39_Body","0","28","1","1","16.076372","0","253"
"/Game/t017849k/SkeletalMeshes/Mushroom/MushroomUnwrap.MushroomUnwrap","0","14","1","1","7.817448","0","59"
"/Game/t017849k/SkeletalMeshes/Flytrap/M_Flytrap.M_Flytrap","0","14","1","1","7.948963","0","97"
"/Game/t017849k/SkeletalMeshes/Dragonfly/body.body","0","28","1","1","16.162374","0","281"
"/Game/t017849k/SkeletalMeshes/Dragonfly/assets.assets","0","48","1","1","29.369295","0","649"
"/Game/t017849k/SkeletalMeshes/Beetle/M_Beetle.M_Beetle","0","28","1","1","15.884195","0","324"
"/Game/t017849k/SkeletalMeshes/Beetle/default.default","0","28","4","1","16.826569","0","283"
"/Game/t017849k/Particles/wind/Materials/M_FallingLeaves.M_FallingLeaves","0","83","1","1","47.391396","0","1542"
"/Game/t017849k/Particles/Butterflies/M_Butterfly.M_Butterfly","0","83","2","1","44.542488","0","1380"
"/Game/t017849k/Materials/LandscapeMaterial/M_BorderMat.M_BorderMat","0","28","1","1","15.987381","0","224"
"/Game/t017849k/Foliage/Oak2/M_Oak2.M_Oak2","0","46","1","1","27.125011","0","503"
"/Game/t017849k/Foliage/Oak1/M_Oak1.M_Oak1","0","46","1","1","26.940935","0","578"
"/Game/t017849k/Foliage/Birch2/M_Birch2.M_Birch2","0","46","1","1","27.006071","0","531"
"/Game/t017849k/Foliage/Birch1/M_Birch1.M_Birch1","0","46","1","1","27.685139","0","565"
"/Game/Prototype_RemoveBefoehanding/HoverBG_Mat.HoverBG_Mat","0","14","4","1","9.913552","0","89"
"/Game/ConnorMinns/Assets/Mat/WoodBridge_BaseColor_Mat.WoodBridge_BaseColor_Mat","0","23","1","1","13.755420","0","216"
"/Game/ConnorMinns/Assets/Mat/propLamppost_BaseColor_Mat.propLamppost_BaseColor_Mat","0","14","1","1","7.954765","0","86"
"/Game/ConnorMinns/Assets/Mat/propLamppost_BaseColorLight_Mat.propLamppost_BaseColorLight_Mat","0","43","1","1","15.034526","0","533"
"/Game/ConnorMinns/Assets/Mat/propCrate_BaseColor_Mat.propCrate_BaseColor_Mat","0","14","1","1","7.866632","0","83"
"/Game/ConnorMinns/Assets/Mat/propBarrel_BaseColor_Mat.propBarrel_BaseColor_Mat","0","14","1","1","7.766589","0","95"
"/Game/ConnorMinns/Assets/Mat/fenceWood_BaseColor_Mat.fenceWood_BaseColor_Mat","0","23","1","1","13.211302","0","221"
"/Game/ConnorMinns/Assets/Mat/fenceStonewall_BaseColor_Mat.fenceStonewall_BaseColor_Mat","0","23","1","1","13.240549","0","227"
"/Game/ConnorMinns/Assets/Mat/fenceStonewallPost_BaseColor_Mat.fenceStonewallPost_BaseColor_Mat","0","23","1","1","13.220797","0","203"
"/Game/Blueprints/TowerPlacing/Materials/ResTest_Mat.ResTest_Mat","0","24","1","1","13.829539","0","268"
